Collection,Date last modified,Family,Genus,Species,Country,Island,Island group,State/Province,County,Locality,Year collected,Month Collected,Day Collected,Collector,Georeferencing method,Lat/Long comments,RelatedInformation,Basis of record,Identification,TotalMaterialCount,Condition,MNI
SLaBB,15-Dec-22,Phyllostomidae,Brachyphylla,cavernarum,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,37,"complete, fragment",15
SLaBB,15-Dec-22,Mormoopidae,Pteronotus,portorricensis,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,17,"complete, fragment",6
SLaBB,15-Dec-22,Phyllostomidae,Artibeus,jamaicensis,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,1,fragment,1
SLaBB,15-Dec-22,Mormoopidae,Pteronotus,quadridens,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,24,"complete, fragment",8
SLaBB,15-Dec-22,Phyllostomidae,Phyllonycteris,major,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,36,"complete, fragment",11
SLaBB,15-Dec-22,Phyllostomidae,Monophyllus,redmani,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,1,fragment,1
SLaBB,15-Dec-22,Phyllostomidae,Monophyllus,plethodon,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,5,"complete, fragment",1
SLaBB,15-Dec-22,Molossidae,Tadarida,brasiliensis,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,1,complete,1
SLaBB,15-Dec-22,Bat,Bat,bat,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, ""surface low""",fossil,ASC,130,fragments,
SLaBB,26-Jun-23,Phyllostomidae,Brachyphylla,cavernarum,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 0–5cm",fossil,ASC,2,fragments,1
SLaBB,26-Jun-23,Bat,Bat,bat,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 0–5cm",fossil,ASC,9,fragments,
SLaBB,26-Jun-23,Bat,Bat,bat,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 5–10cm",fossil,ASC,6,fragments,
SLaBB,26-Jun-23,Phyllostomidae,Brachyphylla,cavernarum,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 10–15cm",fossil,ASC,1,complete,1
SLaBB,26-Jun-23,Bat,Bat,bat,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 10–15cm",fossil,ASC,21,fragments,
SLaBB,26-Jun-23,Phyllostomidae,Monophyllus,plethodon,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 15–20cm",fossil,ASC,3,"complete, fragment",2
SLaBB,26-Jun-23,Phyllostomidae,Brachyphylla,cavernarum,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 15–20cm",fossil,ASC,33,"complete, fragment",9
SLaBB,26-Jun-23,Phyllostomidae,Phyllonycteris,major,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 15–20cm",fossil,ASC,19,"complete, fragment",6
SLaBB,26-Jun-23,Mormoopidae,Pteronotus,portorricensis,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 15–20cm",fossil,ASC,10,"complete, fragment",3
SLaBB,26-Jun-23,Mormoopidae,Pteronotus,quadridens,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 15–20cm",fossil,ASC,14,"complete, fragment",7
SLaBB,26-Jun-23,Mormoopidae,Mormoops,blainvillii,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 15–20cm",fossil,ASC,3,"complete, fragment",3
SLaBB,26-Jun-23,Phyllostomidae,Brachyphylla,cavernarum,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,50,"complete, fragment",13
SLaBB,26-Jun-23,Phyllostomidae,Monophyllus,redmani,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,11,"complete, fragment",6
SLaBB,26-Jun-23,Phyllostomidae,Monophyllus,plethodon,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,4,"complete, fragment",1
SLaBB,26-Jun-23,Phyllostomidae,Phyllonycteris,major,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,49,"complete, fragment",14
SLaBB,26-Jun-23,Mormoopidae,Pteronotus,portorricensis,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,44,"complete, fragment",10
SLaBB,26-Jun-23,Mormoopidae,Mormoops,megalophylla,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,1,fragment,
SLaBB,26-Jun-23,Mormoopidae,Mormoops,blainvillii,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,2,fragment,2
SLaBB,26-Jun-23,Bat,Bat,bat,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,66,fragment 1,
SLaBB,26-Jun-23,Bat,Bat,bat,Puerto Rico,Puerto Rico,Puerto Rico,,Arecibo,Cueva Matos,2022,June,6,"A Soto-Centeno, L Viñola, C Calderon-Acevedo, P Monico, & J Bernstein",GPS coordinates,,"Test Pit 2, 20–25cm",fossil,ASC,10,fragment 2,
